"Ctry_code"|"reg_code"|"reg_tl3"|"reg_tl3_label"
"US"|"US19019"|"US175"|"Waterloo-Cedar Falls - Ia"
"US"|"US19021"|"US046"|"Des Moines-Newton-Pella - Ia"
"US"|"US19023"|"US175"|"Waterloo-Cedar Falls - Ia"
"US"|"US19025"|"US046"|"Des Moines-Newton-Pella - Ia"
"US"|"US19027"|"US046"|"Des Moines-Newton-Pella - Ia"
"US"|"US19029"|"US120"|"Omaha-Council Bluffs-Fremont - Ne-Ia"
"US"|"US19031"|"US027"|"Cedar Rapids - Ia"
"US"|"US19033"|"US103"|"Mason City - Ia"
"US"|"US19035"|"US046"|"Des Moines-Newton-Pella - Ia"
"US"|"US19037"|"US103"|"Mason City - Ia"
"US"|"US19039"|"US046"|"Des Moines-Newton-Pella - Ia"
"US"|"US19041"|"US046"|"Des Moines-Newton-Pella - Ia"
"US"|"US19043"|"US101"|"Madison-Baraboo - Wi"
"US"|"US19045"|"US043"|"Davenport-Moline-Rock Island - Ia-Il"
"US"|"US19047"|"US046"|"Des Moines-Newton-Pella - Ia"
"US"|"US19049"|"US046"|"Des Moines-Newton-Pella - Ia"
"US"|"US19051"|"US046"|"Des Moines-Newton-Pella - Ia"
"US"|"US19053"|"US046"|"Des Moines-Newton-Pella - Ia"
"US"|"US19055"|"US101"|"Madison-Baraboo - Wi"
"US"|"US19057"|"US126"|"Peoria-Canton - Il"
"US"|"US19059"|"US046"|"Des Moines-Newton-Pella - Ia"
"US"|"US19061"|"US101"|"Madison-Baraboo - Wi"
"US"|"US19063"|"US046"|"Des Moines-Newton-Pella - Ia"
"US"|"US19065"|"US175"|"Waterloo-Cedar Falls - Ia"
"US"|"US19067"|"US103"|"Mason City - Ia"
"US"|"US19069"|"US046"|"Des Moines-Newton-Pella - Ia"
"US"|"US19071"|"US120"|"Omaha-Council Bluffs-Fremont - Ne-Ia"
"US"|"US19073"|"US046"|"Des Moines-Newton-Pella - Ia"
"US"|"US19075"|"US175"|"Waterloo-Cedar Falls - Ia"
"US"|"US19077"|"US046"|"Des Moines-Newton-Pella - Ia"
"US"|"US19079"|"US046"|"Des Moines-Newton-Pella - Ia"
"US"|"US19081"|"US103"|"Mason City - Ia"
"US"|"US19083"|"US046"|"Des Moines-Newton-Pella - Ia"
"US"|"US19085"|"US120"|"Omaha-Council Bluffs-Fremont - Ne-Ia"
"US"|"US19087"|"US126"|"Peoria-Canton - Il"
"US"|"US19089"|"US103"|"Mason City - Ia"
"US"|"US19091"|"US046"|"Des Moines-Newton-Pella - Ia"
"US"|"US19093"|"US046"|"Des Moines-Newton-Pella - Ia"
"US"|"US19095"|"US027"|"Cedar Rapids - Ia"
"US"|"US19097"|"US101"|"Madison-Baraboo - Wi"
"US"|"US19099"|"US046"|"Des Moines-Newton-Pella - Ia"
"US"|"US19101"|"US126"|"Peoria-Canton - Il"
"US"|"US19103"|"US027"|"Cedar Rapids - Ia"
"US"|"US19105"|"US027"|"Cedar Rapids - Ia"
"US"|"US19107"|"US027"|"Cedar Rapids - Ia"
"US"|"US19109"|"US103"|"Mason City - Ia"
"US"|"US19111"|"US126"|"Peoria-Canton - Il"
"US"|"US19113"|"US027"|"Cedar Rapids - Ia"
"US"|"US19115"|"US027"|"Cedar Rapids - Ia"
"US"|"US19117"|"US046"|"Des Moines-Newton-Pella - Ia"
"US"|"US19119"|"US155"|"Sioux Falls - Sd"
"US"|"US19121"|"US046"|"Des Moines-Newton-Pella - Ia"
"US"|"US19123"|"US046"|"Des Moines-Newton-Pella - Ia"
"US"|"US19125"|"US046"|"Des Moines-Newton-Pella - Ia"
